Timestamp,Source,Name,Value,Instance
04:39.8,127,Latitude,59° 25.170066' N,
04:39.8,127,Longitude,05° 17.683656' E,
04:39.8,17,Course Over Ground,0,
04:39.8,128,Heading,0.0127,
04:39.8,114,Heading,3.4015,
04:39.8,128,Deviation,,
04:39.8,114,Deviation,0,
04:39.8,17,Speed Over Ground,0,
04:39.8,127,Speed Over Ground,0,
04:39.8,11,Water Depth,,
04:39.8,127,Fluid Level,87.3,
04:39.8,127,Fuel Rate,0.1191,
04:39.8,13,Battery Voltage,14.92,0
04:39.8,5A,Tank Capacity,301983.3345,
04:39.8,5A,Fluid Type,3,3
04:39.8,A9,Transmission oil temperature,349.8,0
04:39.8,A9,Transmission oil pressure,134400,0
04:39.8,A9,Transmission Gear,3,0
04:39.8,A9,Engine tilt/trim,100,0
04:39.8,A3,Fuel Pressure,644000,
04:39.8,A3,Engine coolant pressure,236000,2
04:39.8,A3,Engine temp.,349.15,2
04:39.8,A3,Engine oil temp.,359.2,2
04:39.8,A3,Engine oil pressure,464000,2
04:39.8,A4,Engine Speed,1501,4
04:39.8,A4,Engine Boost Pressure,54000,4
04:40.2,127,Latitude,59° 25.170066' N,
04:40.2,127,Longitude,05° 17.683656' E,
04:40.2,17,Course Over Ground,0,
04:40.2,128,Heading,0.0125,
04:40.2,114,Heading,3.4015,
04:40.2,128,Heading,0.0126,
04:40.2,128,Deviation,,
04:40.2,114,Deviation,0,
04:40.2,127,Speed Over Ground,0,
04:40.2,17,Speed Over Ground,0,
04:40.2,13,Water Depth,,
04:40.2,127,Fluid Level,87.3,
04:40.2,127,Fuel Rate,0.1188,
04:40.2,127,Fuel Rate,0.1268,
04:40.2,127,Fuel Rate,0.1186,
04:40.2,B3,Battery Voltage,28.03,5
04:40.2,A9,Transmission oil temperature,349.8,0
04:40.2,A9,Transmission oil pressure,134400,0
04:40.2,A9,Transmission Gear,3,0
04:40.2,A9,Engine tilt/trim,100,0
04:40.2,A3,Fuel Pressure,644000,
04:40.2,A3,Engine coolant pressure,236000,2
04:40.2,A3,Engine temp.,349.15,2
04:40.2,A3,Engine oil temp.,359.2,2
04:40.2,A3,Engine oil pressure,464000,2
04:40.2,A3,Engine Speed,1914,2
04:40.2,A3,Engine Boost Pressure,196000,2
04:40.2,127,Latitude,59° 25.170066' N,
04:40.2,127,Longitude,05° 17.683656' E,
04:40.2,114,Heading,3.4015,
04:40.2,128,Heading,0.0125,
04:40.2,114,Deviation,0,
04:40.2,128,Deviation,,
04:40.2,127,Speed Over Ground,0,
04:40.2,127,Fluid Level,87.3,
04:40.2,127,Fuel Rate,0.0038,
04:40.2,2A,Battery Voltage,15.5,16
04:40.2,A9,Transmission oil temperature,349.8,0
04:40.2,A9,Transmission oil pressure,134400,0
04:40.2,A9,Transmission Gear,3,0
04:40.2,A9,Engine tilt/trim,100,0
04:40.2,A5,Fuel Pressure,660000,
04:40.2,A5,Engine coolant pressure,218000,1
